lemma,Атооч,Илик,Барыш,Табыш,Жатыш,Чыгыш
бир,бир,бирдин,бирге,бирди,бирде,бирден
манас,манас,манастын,манаска,манасты,манаста,манастан
аалам,аалам,ааламдын,ааламга,ааламды,ааламда,ааламдан
ааламдашуу,ааламдашуу,ааламдашуунун,ааламдашууга,ааламдашууну,ааламдашууда,ааламдашуудан
аалым,аалым,аалымдын,аалымга,аалымды,аалымда,аалымдан
аары,аары,аарынын,аарыга,аарыны,аарыда,аарыдан
аба,аба,абанын,абага,абаны,абада,абадан
абада,аба,абанын,абага,абаны,абада,абадан
абадан,аба,абанын,абага,абаны,абада,абадан
абак,абак,абактын,абакка,абакты,абакта,абактан
абакта,абак,абактын,абакка,абакты,абакта,абактан
абал,абал,абалдын,абалга,абалды,абалда,абалдан
абалды,абал,абалдын,абалга,абалды,абалда,абалдан
абалы,абал,абалдын,абалга,абалды,абалда,абалдан
абалым,абал,абалдын,абалга,абалды,абалда,абалдан
абалын,абал,абалдын,абалга,абалды,абалда,абалдан
абалында,абал,абалдын,абалга,абалды,абалда,абалдан
аббревиатура,аббревиатура,аббревиатуранын,аббревиатурага,аббревиатураны,аббревиатурада,аббревиатурадан
абзац,абзац,абзацтын,абзацка,абзацты,абзацта,абзацтан
абзел,абзел,абзелдин,абзелге,абзелди,абзелде,абзелден
абийир,абийир,абийирдин,абийирге,абийирди,абийирде,абийирден
абийирдүү,абийирдүү,абийирдүүнүн,абийирдүүгө,абийирдүүнү,абийирдүүдө,абийирдүүдөн
абийирсиз,абийирсиз,абийирсиздин,абийирсизге,абийирсизди,абийирсизде,абийирсизден
абитуриент,абитуриент,абитуриенттин,абитуриентке,абитуриентти,абитуриентте,абитуриенттен
абонент,абонент,абоненттин,абонентке,абонентти,абонентте,абоненттен
абоненти,абонент,абоненттин,абонентке,абонентти,абонентте,абоненттен
аборт,аборт,аборттун,абортко,абортту,абортто,аборттон
аброй,аброй,абройдун,абройго,абройду,абройдо,абройдон
абройлуу,абройлуу,абройлуунун,абройлууга,абройлууну,абройлууда,абройлуудан
аброю,аброй,абройдун,абройго,абройду,абройдо,абройдон
аброюн,аброй,абройдун,абройго,абройду,абройдо,абройдон
абысын,абысын,абысындын,абысынга,абысынды,абысында,абысындан
абышка,абышка,абышканын,абышкага,абышканы,абышкада,абышкадан
ава,ава,аванын,авага,аваны,авада,авадан
авал,авал,авалдын,авалга,авалды,авалда,авалдан
авангард,авангард,авангарддын,авангардга,авангардды,авангардда,авангарддан
аванс,аванс,аванстын,аванска,авансты,аванста,аванстан
авария,авария,авариянын,аварияга,аварияны,аварияда,авариядан
август,август,августтун,августка,августту,августта,августтан
авиабаза,авиабаза,авиабазанын,авиабазага,авиабазаны,авиабазада,авиабазадан
авиакомпания,авиакомпания,авиакомпаниянын,авиакомпанияга,авиакомпанияны,авиакомпанияда,авиакомпаниядан
авиаташуучу,авиаташуучу,авиаташуучунун,авиаташуучуга,авиаташуучуну,авиаташуучуда,авиаташуучудан
авиатор,авиатор,авиатордун,авиаторго,авиаторду,авиатордо,авиатордон
авиация,авиация,авиациянын,авиацияга,авиацияны,авиацияда,авиациядан
автобаза,автобаза,автобазанын,автобазага,автобазаны,автобазада,автобазадан
автобазада,автобаза,автобазанын,автобазага,автобазаны,автобазада,автобазадан
автобекет,автобекет,автобекеттин,автобекетке,автобекетти,автобекетте,автобекеттен
автобус,автобус,автобустун,автобуска,автобусту,автобуста,автобустан
автобуска,автобус,автобустун,автобуска,автобусту,автобуста,автобустан
автовокзал,автовокзал,автовокзалдын,автовокзалга,автовокзалды,автовокзалда,автовокзалдан
автожол,автожол,автожолдун,автожолго,автожолду,автожолдо,автожолдон
автоинспекция,автоинспекция,автоинспекциянын,автоинспекцияга,автоинспекцияны,автоинспекцияда,автоинспекциядан
автокырсык,автокырсык,автокырсыктын,автокырсыкка,автокырсыкты,автокырсыкта,автокырсыктан
автомат,автомат,автоматтын,автоматка,автоматты,автоматта,автоматтан
автоматика,автоматика,автоматиканын,автоматикага,автоматиканы,автоматикада,автоматикадан
автоматтуу,автоматтуу,автоматтуунун,автоматтууга,автоматтууну,автоматтууда,автоматтуудан
автомашина,автомашина,автомашинанын,автомашинага,автомашинаны,автомашинада,автомашинадан
автомектеп,автомектеп,автомектептин,автомектепке,автомектепти,автомектепте,автомектептен
автомобиль,автомобиль,автомобильдин,автомобильге,автомобильди,автомобильде,автомобильден
автономия,автономия,автономиянын,автономияга,автономияны,автономияда,автономиядан
автономиялуу,автономиялуу,автономиялуунун,автономиялууга,автономиялууну,автономиялууда,автономиялуудан
автор,автор,автордун,авторго,авторду,автордо,автордон
авторитардык,авторитардык,авторитардыктын,авторитардыкка,авторитардыкты,авторитардыкта,авторитардыктан
авторитет,авторитет,авторитеттин,авторитетке,авторитетти,авторитетте,авторитеттен
